id,mining_profitability,date,block_size,median_transaction_size,transactions,top_100_percent,confirmation_time,fee_reward,hashrate,median_transaction_value,tweets,sent_addresses,google_trends,send_usd,market_cap,av_transaction_size,active_addresses,av_transaction_value,difficulty,full_name,coin
0,,2015/07/30,643.886,,null,,,null,11114186636,,,,0.508,,190566400,,,,121335493201,ethereum,eth
1,,2015/07/31,582.028,,null,,,null,51376122067,,,,0.521,,224339125,,,,602941851594,ethereum,eth
2,,2015/08/01,575.164,,null,,,null,57794141228,,,,0.391,,216969413,,,,887254173531,ethereum,eth
3,,2015/08/02,580.879,,null,,,null,67898971177,,,,0.441,,177423911,,,,1020253707547,ethereum,eth
4,,2015/08/03,587.112,,null,,,null,74572708586,,,,0.265,,179121767,,,,1125837358847,ethereum,eth
5,,2015/08/04,586.97,,null,,,null,82043945495,,,,0.309,,187215055,,,,1216587344565,ethereum,eth
6,,2015/08/05,578.946,,null,,,null,86146792187,,,,0.268,,195497241,,,,1327837857487,ethereum,eth
7,,2015/08/06,583.671,,null,,,null,88328908216,,,,0.336,,228808709,,,,1380846362252,ethereum,eth
8,,2015/08/07,632.625,0.00411,2050,,,0.103,95297747680,45.711,,784,0.482,6244667,224702034,,1214,3046,1470838650662,ethereum,eth
9,,2015/08/08,667.595,0.00211,2881,,,0.177,104892236891,0.17,,605,0.358,23054509,122726602,,959,8002,1586123528941,ethereum,eth
10,,2015/08/09,618.298,0.000973,1329,,,0.0428,109676945486,7.956,,462,0.391,927200,57547525,,817,697.668,1709479787485,ethereum,eth
11,,2015/08/10,631.186,0.000896,2037,,,0.0825,120610799180,0.368,,821,0.334,1219177,52799436,,1482,598.516,1837695763268,ethereum,eth
12,,2015/08/11,692.014,0.000997,4963,,,0.0388,134766886331,0.0393,,2132,0.298,1216605,59277929,,4204,245.135,2036390797503,ethereum,eth
13,,2015/08/12,653.426,0.00136,2036,,,0.11,142999727420,7.874,,581,0.449,817167,79168912,,1114,401.359,2207079742290,ethereum,eth
14,,2015/08/13,665.722,0.00169,2842,,,0.084,156606018232,11.37,,872,0.416,2493147,101026080,,1704,877.251,2336979708058,ethereum,eth
15,,2015/08/14,659.751,0.00238,3174,,,0.0439,196722874450,20.381,,1115,0.52,4516055,142592143,,2082,1423,2671253150472,ethereum,eth
16,,2015/08/15,638.335,0.00217,2284,,,0.0292,227666580264,17.961,,857,0.421,8318089,130225850,,1703,3642,3378028425874,ethereum,eth
17,,2015/08/16,640.654,0.00167,2440,,,0.0236,231942202731,9.872,,765,0.224,2360139,100192955,,1556,967.27,3631632144443,ethereum,eth
18,,2015/08/17,634.708,0.00168,2512,,,0.026,258915864705,10.289,,816,0.263,3119346,100832043,,1635,1242,3908024035253,ethereum,eth
19,,2015/08/18,648.488,0.00144,2494,,,0.0436,270470331405,7.684,,834,0.237,1855768,86978726,,1688,744.093,4377694725369,ethereum,eth
20,,2015/08/19,653.321,0.00151,3246,,,0.0493,284044135459,6.626,,823,0.213,1434540,90614345,,1845,441.941,4419573021825,ethereum,eth
21,,2015/08/20,650.093,0.0016,2303,,,0.0308,221468069465,6.744,,658,0.23,563017,97988942,,1508,244.471,4469109431846,ethereum,eth
22,,2015/08/21,667.585,0.00157,3919,,,0.0282,277264309584,7.477,,913,0.252,877611,108664107,,1993,223.937,4415252643655,ethereum,eth
23,,2015/08/22,648.038,0.00163,3579,,,0.0582,312618144214,5.86,,840,0.213,699924,102872632,,2063,195.564,4828340997895,ethereum,eth
24,,2015/08/23,680.592,0.00142,4190,,,0.0295,317162749743,5.02,,885,0.241,671489,98081213,,2261,160.26,5138351075673,ethereum,eth
25,,2015/08/24,672.547,0.00137,4432,,,0.031,333335492749,3.888,,873,0.252,601209,94603232,,2123,135.652,5179118882691,ethereum,eth
26,,2015/08/25,679.73,0.00125,4487,,,0.0295,325201816316,4.074,,951,0.268,485349,86895292,,2376,108.168,5173287673223,ethereum,eth
27,,2015/08/26,668.652,0.0012,4156,,,0.0271,343102359407,3.187,,883,0.213,501110,83022366,,2218,120.575,5587304091732,ethereum,eth
28,,2015/08/27,707.929,0.00122,5590,,,0.034,341118418030,2.832,,929,0.151,315965,84351151,,2404,56.523,5925309861486,ethereum,eth
29,,2015/08/28,690.88,0.00122,4758,,,0.0378,355219519712,3.048,,919,0.173,350202,84907180,,2281,73.603,6250868351996,ethereum,eth
30,,2015/08/29,682.036,0.00124,4139,,,0.0236,351443303077,3.68,,839,0.0901,506311,85710837,,2021,122.327,6657649139910,ethereum,eth
