"DateTime","Sales (USD) (x)","Sales (USD) (y)","Sales (USD) (z)","Unique Buyers (x)","Unique Buyers (y)","Unique Buyers (z)"
"2017-06-23 00:00:00","2017-06-23 00:00:00",1455.93,"$1,455.93","2017-06-23 00:00:00",9,"9"
"2017-06-24 00:00:00","2017-06-24 00:00:00",845.73,"$845.73","2017-06-24 00:00:00",7,"7"
"2017-06-25 00:00:00","2017-06-25 00:00:00",593.68,"$593.68","2017-06-25 00:00:00",7,"7"
"2017-06-26 00:00:00","2017-06-26 00:00:00",1076.49,"$1,076.49","2017-06-26 00:00:00",10,"10"
"2017-06-27 00:00:00","2017-06-27 00:00:00",2090.85,"$2,090.85","2017-06-27 00:00:00",8,"8"
"2017-06-28 00:00:00","2017-06-28 00:00:00",1430.7,"$1,430.70","2017-06-28 00:00:00",6,"6"
"2017-06-29 00:00:00","2017-06-29 00:00:00",2301.79,"$2,301.79","2017-06-29 00:00:00",13,"13"
"2017-06-30 00:00:00","2017-06-30 00:00:00",1774.59,"$1,774.59","2017-06-30 00:00:00",11,"11"
"2017-07-01 00:00:00","2017-07-01 00:00:00",3726.54,"$3,726.54","2017-07-01 00:00:00",7,"7"
"2017-07-02 00:00:00","2017-07-02 00:00:00",3116.63,"$3,116.63","2017-07-02 00:00:00",13,"13"
"2017-07-03 00:00:00","2017-07-03 00:00:00",8058.37,"$8,058.37","2017-07-03 00:00:00",12,"12"
"2017-07-04 00:00:00","2017-07-04 00:00:00",13321.61,"$13,321.61","2017-07-04 00:00:00",14,"14"
"2017-07-05 00:00:00","2017-07-05 00:00:00",1443.14,"$1,443.14","2017-07-05 00:00:00",7,"7"
"2017-07-06 00:00:00","2017-07-06 00:00:00",7433.1,"$7,433.10","2017-07-06 00:00:00",10,"10"
"2017-07-07 00:00:00","2017-07-07 00:00:00",7424.98,"$7,424.98","2017-07-07 00:00:00",7,"7"
"2017-07-08 00:00:00","2017-07-08 00:00:00",2959.66,"$2,959.66","2017-07-08 00:00:00",8,"8"
"2017-07-09 00:00:00","2017-07-09 00:00:00",1888.65,"$1,888.65","2017-07-09 00:00:00",11,"11"
"2017-07-10 00:00:00","2017-07-10 00:00:00",5598.93,"$5,598.93","2017-07-10 00:00:00",15,"15"
"2017-07-11 00:00:00","2017-07-11 00:00:00",6386.05,"$6,386.05","2017-07-11 00:00:00",10,"10"
"2017-07-12 00:00:00","2017-07-12 00:00:00",1431.03,"$1,431.03","2017-07-12 00:00:00",5,"5"
"2017-07-13 00:00:00","2017-07-13 00:00:00",5000.99,"$5,000.99","2017-07-13 00:00:00",15,"15"
"2017-07-14 00:00:00","2017-07-14 00:00:00",408.23,"$408.23","2017-07-14 00:00:00",3,"3"
"2017-07-15 00:00:00","2017-07-15 00:00:00",394.03,"$394.03","2017-07-15 00:00:00",4,"4"
"2017-07-16 00:00:00","2017-07-16 00:00:00",316.45,"$316.45","2017-07-16 00:00:00",2,"2"
"2017-07-17 00:00:00","2017-07-17 00:00:00",1628.2,"$1,628.20","2017-07-17 00:00:00",5,"5"
"2017-07-18 00:00:00","2017-07-18 00:00:00",3998.08,"$3,998.08","2017-07-18 00:00:00",11,"11"
"2017-07-19 00:00:00","2017-07-19 00:00:00",2808.81,"$2,808.81","2017-07-19 00:00:00",5,"5"
"2017-07-20 00:00:00","2017-07-20 00:00:00",1721.93,"$1,721.93","2017-07-20 00:00:00",4,"4"
"2017-07-21 00:00:00","2017-07-21 00:00:00",2523.11,"$2,523.11","2017-07-21 00:00:00",6,"6"
"2017-07-22 00:00:00","2017-07-22 00:00:00",773.01,"$773.01","2017-07-22 00:00:00",5,"5"
"2017-07-23 00:00:00","2017-07-23 00:00:00",737.45,"$737.45","2017-07-23 00:00:00",6,"6"
