Date,Price,Sales
2019-03-08,135.555,20032.07
2019-03-09,135.975,7800.73
2019-03-10,136.14,9430.61
2019-03-11,133.945,10675.41
2019-03-12,132.035,12054.19
2019-03-13,132.51999999999998,7433.86
2019-03-14,132.64999999999998,6361.91
2019-03-15,135.065,7200.26
2019-03-16,140.35,10858.1
2019-03-17,139.39,9676.4
2019-03-18,139.365,6349.96
2019-05-03,164.515,8838.53
2019-05-04,162.81,8043.81
2019-05-05,162.35,19462.19
2019-05-06,177.18,5368.94
2019-05-07,167.69,8061.18
2019-05-08,171.76999999999998,5282.98
2019-05-09,170.01,5593.37
2019-05-10,175.09,15408.12
2019-05-11,182.9,13299.66
2019-05-12,188.19,3654.83
2019-05-13,200.09,7223.3
2019-05-14,220.125,4797.96
2019-05-15,257.81,30228.58
2019-05-16,260.26,11309.22
2019-05-17,242.64499999999998,6738.12
2019-05-18,240.655,9096.05
2019-05-19,252.79000000000002,4244.23
2019-05-20,251.915,6715.37
2019-05-21,256.51,6925.88
2019-05-22,243.465,8284.96
2019-05-23,244.3,23598.43
2019-05-24,249.49,11118.59
2019-05-25,250.895,7491.95
2019-05-26,266.69,9728.35
2019-05-27,271.015,11073.48
2019-05-28,269.07000000000005,6311.94
2019-05-29,270.225,5849.15
2019-05-30,256.3,9532.44
2019-05-31,270.28999999999996,13012.23
2019-06-01,266.08000000000004,7719.15
2019-06-02,267.13,12658.74
2019-06-03,246.07999999999998,10186.65
2019-06-04,241.86,6095.88
2019-06-05,245.76999999999998,11593.12
2019-06-06,248.04500000000002,8702.08
2019-06-07,249.44,6159.03
2019-06-08,242.075,5841.66
2019-06-09,231.01,6523.83
2019-06-10,245.945,8279.96
2019-06-11,243.69,4709.13
2019-06-12,260.53,6545.73
2019-06-13,254.275,7156.02
2019-06-14,263.35,5500.71
2019-06-15,267.87,7246.58
2019-06-16,270.275,7687.87
2019-06-17,271.815,9438.22
2019-06-18,265.27,9400.25
2019-06-19,268.19000000000005,7543.39
2019-06-20,277.535,10592.49
2019-06-21,298.715,10884.88
2019-06-22,314.445,6877.84
2019-06-23,303.205,16387.17
2019-06-24,311.4,7800.22
2019-06-25,317.83500000000004,2529.6
2019-06-26,337.83,3741.47
2019-06-27,301.055,4794.8
2019-06-28,304.45,4843.37
2019-06-29,320.735,6812.55
2019-06-30,295.39,10878.42
2019-07-01,291.845,3180.65
2019-07-02,294.95000000000005,5111.07
2019-07-03,299.505,5139.8
2019-07-04,284.40999999999997,12776.53
2019-07-05,289.765,6354.89
2019-07-06,287.085,3541.89
2019-07-07,304.255,8368.05
2019-07-08,312.35,4358.34
2019-07-09,309.36,5523.37
2019-07-10,285.51,5158.17
2019-07-11,270.725,5282.26
2019-07-12,273.9,3308.18
2019-07-13,268.65,2541.14
2019-07-14,215.52499999999998,2828.76
2019-07-15,231.39999999999998,2043.0
2019-07-16,198.82999999999998,506.64
2019-07-17,210.28,4627.84
2019-07-18,224.145,3423.99
2019-07-19,221.235,2860.87
2019-07-20,226.865,3749.36
2019-07-21,225.5,3167.87
